ticker,name,date,close,market_cap,listed_shares,source,price_basis
000030,우리은행,20170601,15300,10342800000000,676000000,KRX Data Marketplace screen 12001,actual_traded
000030,우리은행,20190212,14800,10004800000000,676000000,KRX Data Marketplace screen 12001,actual_traded
000270,기아,20170601,39550,16032120373850,405363347,KRX Data Marketplace screen 12003,actual_traded
000270,기아,20221229,59300,24038046477100,405363347,KRX Data Marketplace screen 12003,actual_traded
000660,SK하이닉스,20170601,56400,41059333386000,728002365,KRX Data Marketplace screen 12003,actual_traded
000660,SK하이닉스,20221229,75000,54600177375000,728002365,KRX Data Marketplace screen 12003,actual_traded
000810,삼성화재,20170601,291500,13809764985500,47374837,KRX Data Marketplace screen 12003,actual_traded
000810,삼성화재,20221229,200000,9474967400000,47374837,KRX Data Marketplace screen 12003,actual_traded
003550,LG,20170601,80900,13959871897900,172557131,KRX Data Marketplace screen 12003,actual_traded
003550,LG,20221229,78100,12285207553300,157300993,KRX Data Marketplace screen 12003,actual_traded
005380,현대차,20170601,165500,36455757274500,220276479,KRX Data Marketplace screen 12003,actual_traded
005380,현대차,20221229,151000,32263896237000,213668187,KRX Data Marketplace screen 12003,actual_traded
005490,POSCO,20170601,274500,23932786207500,87186835,KRX Data Marketplace screen 12003,actual_traded
005490,POSCO,20221229,276500,23383945095000,84571230,KRX Data Marketplace screen 12003,actual_traded
005930,삼성전자,20170601,2234000,291913415596000,130668494,KRX Data Marketplace screen 12003,actual_traded
005930,삼성전자,20221229,55300,330128975015000,5969782550,KRX Data Marketplace screen 12003,actual_traded
006400,삼성SDI,20170601,158500,10899178005000,68764530,KRX Data Marketplace screen 12003,actual_traded
006400,삼성SDI,20221229,591000,40639837230000,68764530,KRX Data Marketplace screen 12003,actual_traded
009150,삼성전기,20170601,82000,6124883072000,74693696,KRX Data Marketplace screen 12003,actual_traded
009150,삼성전기,20221229,130500,9747527328000,74693696,KRX Data Marketplace screen 12003,actual_traded
011200,HMM,20170601,9160,1629215709320,177861977,KRX Data Marketplace screen 12003,actual_traded
011200,HMM,20221229,19550,9560722146800,489039496,KRX Data Marketplace screen 12003,actual_traded
012330,현대모비스,20170601,273000,26574874599000,97343863,KRX Data Marketplace screen 12003,actual_traded
012330,현대모비스,20221229,200500,18904161347000,94285094,KRX Data Marketplace screen 12003,actual_traded
015760,한국전력,20170601,44000,28246419388000,641964077,KRX Data Marketplace screen 12003,actual_traded
015760,한국전력,20221229,21800,13994816878600,641964077,KRX Data Marketplace screen 12003,actual_traded
017670,SK텔레콤,20170601,249500,20146054894500,80745711,KRX Data Marketplace screen 12003,actual_traded
017670,SK텔레콤,20221229,47400,10372691025600,218833144,KRX Data Marketplace screen 12003,actual_traded
018260,삼성에스디에스,20170601,164000,12689959200000,77377800,KRX Data Marketplace screen 12003,actual_traded
018260,삼성에스디에스,20221229,123000,9517469400000,77377800,KRX Data Marketplace screen 12003,actual_traded
028260,삼성물산,20170601,138000,26177225934000,189690043,KRX Data Marketplace screen 12003,actual_traded
028260,삼성물산,20221229,113500,21211683693500,186887081,KRX Data Marketplace screen 12003,actual_traded
030200,KT,20170601,32300,8433911398400,261111808,KRX Data Marketplace screen 12003,actual_traded
030200,KT,20221229,33800,8825579110400,261111808,KRX Data Marketplace screen 12003,actual_traded
032830,삼성생명,20170601,121500,24300000000000,200000000,KRX Data Marketplace screen 12003,actual_traded
032830,삼성생명,20221229,71000,14200000000000,200000000,KRX Data Marketplace screen 12003,actual_traded
033780,KT&G,20170601,112500,15445405912500,137292497,KRX Data Marketplace screen 12003,actual_traded
033780,KT&G,20221229,91500,12562263475500,137292497,KRX Data Marketplace screen 12003,actual_traded
034730,SK,20170601,285000,20052684645000,70360297,KRX Data Marketplace screen 12003,actual_traded
034730,SK,20221229,189000,14014223181000,74149329,KRX Data Marketplace screen 12003,actual_traded
035420,NAVER,20170601,842000,27754575718000,32962679,KRX Data Marketplace screen 12003,actual_traded
035420,NAVER,20221229,177500,29118712587500,164049085,KRX Data Marketplace screen 12003,actual_traded
035720,카카오,20170601,98800,6696776138000,67781135,KRX Data Marketplace screen 12003,actual_traded
035720,카카오,20221229,53100,23651291549700,445410387,KRX Data Marketplace screen 12003,actual_traded
036570,엔씨소프트,20170601,377500,8278205805000,21929022,KRX Data Marketplace screen 12003,actual_traded
036570,엔씨소프트,20221229,448000,9835401856000,21954022,KRX Data Marketplace screen 12003,actual_traded
051900,LG생활건강,20170601,995000,15540106015000,15618197,KRX Data Marketplace screen 12003,actual_traded
051900,LG생활건강,20221229,722000,11276338234000,15618197,KRX Data Marketplace screen 12003,actual_traded
051910,LG화학,20170601,303000,21389479929000,70592343,KRX Data Marketplace screen 12003,actual_traded
051910,LG화학,20221229,600000,42355405800000,70592343,KRX Data Marketplace screen 12003,actual_traded
055550,신한지주,20170601,49250,23354329659750,474199587,KRX Data Marketplace screen 12003,actual_traded
055550,신한지주,20221229,35200,17909227388800,508784869,KRX Data Marketplace screen 12003,actual_traded
066570,LG전자,20170601,81300,13304567278200,163647814,KRX Data Marketplace screen 12003,actual_traded
066570,LG전자,20221229,86500,14155535911000,163647814,KRX Data Marketplace screen 12003,actual_traded
068270,셀트리온,20170601,95000,11647418095000,122604401,KRX Data Marketplace screen 12003,actual_traded
068270,셀트리온,20221229,160500,22599236205000,140805210,KRX Data Marketplace screen 12003,actual_traded
086790,하나금융지주,20170601,41200,12195326154400,296003062,KRX Data Marketplace screen 12003,actual_traded
086790,하나금융지주,20221229,42050,12442741165800,295903476,KRX Data Marketplace screen 12003,actual_traded
090430,아모레퍼시픽,20170601,337500,19729740375000,58458490,KRX Data Marketplace screen 12003,actual_traded
090430,아모레퍼시픽,20221229,137500,8042754362500,58492759,KRX Data Marketplace screen 12003,actual_traded
096770,SK이노베이션,20170601,166500,15395516406000,92465564,KRX Data Marketplace screen 12003,actual_traded
096770,SK이노베이션,20221229,154000,14239696856000,92465564,KRX Data Marketplace screen 12003,actual_traded
105560,KB금융,20170601,52600,21992666846200,418111537,KRX Data Marketplace screen 12003,actual_traded
105560,KB금융,20221229,48500,19831507798000,408897068,KRX Data Marketplace screen 12003,actual_traded
207940,삼성바이오로직스,20170601,229000,15151785000000,66165000,KRX Data Marketplace screen 12003,actual_traded
207940,삼성바이오로직스,20221229,821000,58433854000000,71174000,KRX Data Marketplace screen 12003,actual_traded
251270,넷마블게임즈,20170601,151500,12878445663000,85006242,KRX Data Marketplace screen 12003,actual_traded
251270,넷마블게임즈,20221229,60400,5191591520800,85953502,KRX Data Marketplace screen 12003,actual_traded
259960,크래프톤,20210810,454000,22199723780000,48898070,KRX Data Marketplace screen 12003,actual_traded
259960,크래프톤,20221229,168000,8245699560000,49081545,KRX Data Marketplace screen 12003,actual_traded
316140,우리금융지주,20190213,15300,10406513881800,680164306,KRX Data Marketplace screen 12003,actual_traded
316140,우리금융지주,20221229,11550,8409099340950,728060549,KRX Data Marketplace screen 12003,actual_traded
323410,카카오뱅크,20210806,69800,33161996542600,475100237,KRX Data Marketplace screen 12003,actual_traded
323410,카카오뱅크,20221229,24300,11584391669100,476723937,KRX Data Marketplace screen 12003,actual_traded
352820,하이브,20201015,258000,8732317536000,33846192,KRX Data Marketplace screen 12003,actual_traded
352820,하이브,20221229,173500,7174812644500,41353387,KRX Data Marketplace screen 12003,actual_traded
373220,LG에너지솔루션,20220127,505000,118170000000000,234000000,KRX Data Marketplace screen 12003,actual_traded
373220,LG에너지솔루션,20221229,435500,101907000000000,234000000,KRX Data Marketplace screen 12003,actual_traded
377300,카카오페이,20211103,193000,25160855125000,130367125,KRX Data Marketplace screen 12003,actual_traded
377300,카카오페이,20221229,54200,7208753223400,133002827,KRX Data Marketplace screen 12003,actual_traded
