일자,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"2026/08/14","110060","2790","2.60","110371.90","110220","110800","108145","17088038","1871747637027","26001675000000","26064323247966","236250000","코스피 200","1098.18","26.94","2.51"
"2026/08/13","107270","4020","3.89","107650.84","107030","108930","106440","18227047","1963577093264","25256721500000","25432509921759","235450000","코스피 200","1071.24","41.81","4.06"
"2026/08/12","103250","3985","4.01","103464.35","100550","104990","100240","15084783","1555307616908","24119200000000","24360681004091","233600000","코스피 200","1029.43","42.03","4.26"
"2026/08/11","99265","1000","1.02","99224.15","97570","100350","96650","14065397","1391450049502","23014590250000","23178762287104","231850000","코스피 200","987.40","9.56","0.98"
"2026/08/10","98265","175","0.18","98250.40","98835","100345","97260","13128894","1293792635144","22522338000000","22779356208586","229200000","코스피 200","977.84","3.11","0.32"
"2026/08/07","98090","810","-0.82","97949.38","99800","100880","96515","14130664","1389032242878","22550891000000","22449998213896","229900000","코스피 200","974.73","8.19","-0.83"
"2026/08/06","98900","5400","-5.18","98738.44","102060","103220","98030","14845527","1477628842169","23009085000000","22699967268019","232650000","코스피 200","982.92","55.67","-5.36"
"2026/08/05","104300","3970","3.96","104335.70","105050","105660","103300","18191398","1905066267484","24244535000000","24273700599192","232450000","코스피 200","1038.59","38.56","3.86"
"2026/08/04","100330","1225","1.24","100450.72","100720","101110","95720","21430764","2110229469879","23768177000000","23349770220092","236900000","코스피 200","1000.03","13.31","1.35"
"2026/08/03","99105","9715","-8.93","99117.94","101980","102000","98355","27169695","2704425368306","22397730000000","23481040216516","226000000","코스피 200","986.72","60.09","-5.74"
"2026/07/31","108820","21185","24.17","105156.98","97905","110000","97475","34727609","3573025360082","24593320000000","23765478432074","226000000","코스피 200","1046.81","174.32","19.98"
"2026/07/30","87635","1790","-2.00","87653.14","89325","94300","86785","40431123","3619174106265","19805510000000","19809609599762","226000000","코스피 200","872.49","14.71","-1.66"
"2026/07/29","89605","6070","-6.34","89138.64","96615","98910","82710","38902565","3507052291577","20219368250000","20145332451503","225650000","코스피 200","887.20","58.49","-6.18"
"2026/07/28","95675","12055","-11.19","95203.53","101555","101900","94810","21909756","2131856930825","21488605000000","21482675774829","224600000","코스피 200","945.69","123.53","-11.55"
"2026/07/27","107730","1365","1.28","107626.42","108800","108800","103990","15613649","1660787270591","24217704000000","24172893124039","224800000","코스피 200","1069.22","13.64","1.29"
"2026/07/24","106365","6865","-6.06","106248.95","111530","111685","105445","16981074","1826163886870","24022535250000","23884763111130","225850000","코스피 200","1055.58","70.75","-6.28"
"2026/07/23","113230","4915","4.54","113375.02","111220","113600","110150","13470411","1512176597586","25442781000000","25605748258093","224700000","코스피 200","1126.33","46.11","4.27"
"2026/07/22","108315","175","0.16","108722.54","113570","115000","108315","18621312","2095860895177","24387122250000","24429955778893","225150000","코스피 200","1080.22","6.83","0.64"
"2026/07/21","108140","4045","3.89","108060.02","103805","109695","102455","20630435","2205802366430","24407198000000","24329714200175","225700000","코스피 200","1073.39","40.87","3.96"
"2026/07/20","104095","4905","-4.50","103935.71","104250","108950","103020","24229515","2552391699252","23535879500000","23458289245758","226100000","코스피 200","1032.52","47.84","-4.43"
"2026/07/16","109000","7735","-6.63","108746.33","111120","111735","107145","20103895","2192881456013","24377850000000","24587545326298","223650000","코스피 200","1080.36","83.54","-7.18"
"2026/07/15","116735","7015","6.39","117145.18","116585","119470","115550","21886708","2572591016280","26037741750000","26199518565245","223050000","코스피 200","1163.90","71.67","6.56"
"2026/07/14","109720","900","0.83","109938.07","108820","111880","102785","33989327","3671793634825","24094512000000","24521686838106","219600000","코스피 200","1092.23","13.45","1.25"
"2026/07/13","108820","11785","-9.77","108583.09","119630","121305","108100","28358089","3182849921943","23793493000000","23844845626362","218650000","코스피 200","1078.78","117.91","-9.85"
"2026/07/10","120605","2905","2.47","120450.15","122250","124395","119630","21935200","2681250543384","26207466500000","26336424797490","217300000","코스피 200","1196.69","26.96","2.30"
"2026/07/09","117700","835","0.71","117715.96","121315","122080","113760","25543395","3017773065667","25423200000000","25579678475931","216000000","코스피 200","1169.73","11.36","0.98"
"2026/07/08","116865","6845","-5.53","116598.20","119975","125895","115560","28898857","3460141078410","25155191250000","25185210667909","215250000","코스피 200","1158.37","67.20","-5.48"
"2026/07/07","123710","6415","-4.93","123362.61","127350","128695","118870","23459803","2871155518945","26288375000000","26553802480299","212500000","코스피 200","1225.57","67.56","-5.22"
"2026/07/06","130125","885","-0.68","130165.59","132760","134720","126000","20416755","2659362943393","27306731250000","27660188376919","209850000","코스피 200","1293.13","6.17","-0.47"
"2026/07/03","131010","7480","6.06","130791.06","124385","131765","118650","25609740","3211367274678","27394191000000","27446503530161","209100000","코스피 200","1299.30","79.68","6.53"
"2026/07/02","123530","10995","-8.17","122805.42","127565","131225","121950","24238689","3071761996965","25651004500000","25678613468492","207650000","코스피 200","1219.62","115.74","-8.67"
"2026/07/01","134525","4055","-2.93","134413.86","139670","140555","131615","16469581","2230970669869","28102272500000","27911038847920","208900000","코스피 200","1335.36","35.37","-2.58"
"2026/06/30","138580","2165","1.59","137984.10","136405","141290","133305","17098232","2355635656446","29053297000000","28824878620625","209650000","코스피 200","1370.73","18.19","1.34"
"2026/06/29","136415","965","-0.70","136164.08","136495","138710","131920","22249173","3007820453315","28715357500000","28546799944240","210500000","코스피 200","1352.54","13.95","-1.02"
"2026/06/26","137380","8450","-5.79","137505.43","143990","144850","132595","29479487","4057962911325","29495486000000","28944892860394","214700000","코스피 200","1366.49","87.66","-6.03"
"2026/06/25","145830","7685","5.56","146297.83","145980","148120","143120","17200294","2511303989788","31484697000000","31410144303645","215900000","코스피 200","1454.15","84.53","6.17"
"2026/06/24","138145","5325","4.01","137828.59","134645","139495","130855","32994512","4503732723712","30322827500000","29757191853728","219500000","코스피 200","1369.62","47.92","3.63"
"2026/06/23","132820","15535","-10.47","133009.82","148310","149200","132500","32931869","4605774556206","29087580000000","29195655564029","219000000","코스피 200","1321.70","155.52","-10.53"
"2026/06/22","148355","1445","0.98","148629.96","144690","150735","144345","19335392","2862533894886","32779037250000","32549961562276","220950000","코스피 200","1477.22","17.74","1.22"
"2026/06/19","146910","35","-0.02","146848.91","149000","152455","143100","26620203","3945646296286","32760930000000","32446266971269","223000000","코스피 200","1459.48","0.25","0.02"
"2026/06/18","146945","4890","3.44","146823.82","142305","147180","142180","20153826","2920825993754","32754040500000","32741712810586","222900000","코스피 200","1459.23","42.26","2.98"
