ticker,record_date,pay_date,distribution_per_share,taxable_per_share,source,source_url
211900,2018-04-30,2018-05-03,230,230,official_pdf_amount_pay_date_inferred,https://m.samsungfund.com/sheet/20210525/2ETF46_20210430.pdf
211900,2019-04-30,2019-05-03,225,225,official_pdf_amount_pay_date_inferred,https://m.samsungfund.com/sheet/20210525/2ETF46_20210430.pdf
211900,2020-04-29,2020-05-06,270,270,official_pdf_amount_pay_date_inferred,https://m.samsungfund.com/sheet/20210525/2ETF46_20210430.pdf
211900,2021-04-30,2021-05-04,400,400,official_pdf_amount_pay_date_inferred,https://m.samsungfund.com/sheet/20210525/2ETF46_20210430.pdf
211900,2022-04-29,2022-05-03,510,510,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF46
211900,2023-04-28,2023-05-03,450,450,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF46
211900,2024-04-30,2024-05-03,510,510,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF46
211900,2025-04-30,2025-05-07,635,635,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF46
211900,2025-09-30,2025-10-02,30,30,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF46
211900,2025-10-31,2025-11-04,30,30,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF46
211900,2025-11-28,2025-12-02,30,30,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF46
211900,2025-12-30,2026-01-05,30,30,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF46
211900,2026-01-30,2026-02-03,24,24,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF46
211900,2026-02-27,2026-03-04,24,24,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF46
211900,2026-03-31,2026-04-02,30,30,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF46
211900,2026-04-30,2026-05-06,449,449,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF46
211900,2026-05-29,2026-06-02,24,24,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF46
211900,2026-06-30,2026-07-02,24,24,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF46
211900,2026-07-31,2026-08-04,24,24,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF46
211900,2026-08-31,2026-09-02,24,24,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF46
223190,2018-04-30,2018-05-03,140,140,official_pdf_amount_pay_date_inferred,https://m.samsungfund.com/sheet/20210525/2ETF51_20210430.pdf
223190,2019-04-30,2019-05-03,150,150,official_pdf_amount_pay_date_inferred,https://m.samsungfund.com/sheet/20210525/2ETF51_20210430.pdf
223190,2020-04-29,2020-05-06,170,170,official_pdf_amount_pay_date_inferred,https://m.samsungfund.com/sheet/20210525/2ETF51_20210430.pdf
223190,2021-04-30,2021-05-04,270,270,official_pdf_amount_pay_date_inferred,https://m.samsungfund.com/sheet/20210525/2ETF51_20210430.pdf
223190,2022-04-29,2022-05-03,220,220,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF51
223190,2023-04-28,2023-05-03,300,300,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF51
223190,2024-04-30,2024-05-03,347,347,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF51
223190,2025-04-30,2025-05-07,373,373,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF51
223190,2026-04-30,2026-05-06,295,295,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF51
223190,2026-07-31,2026-08-04,94,94,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF51
244620,2018-04-30,2018-05-03,115,115,official_pdf_amount_pay_date_inferred,https://m.samsungfund.com/sheet/20210525/2ETF60_20210430.pdf
244620,2019-04-30,2019-05-03,75,75,official_pdf_amount_pay_date_inferred,https://m.samsungfund.com/sheet/20210525/2ETF60_20210430.pdf
244620,2020-04-29,2020-05-06,85,85,official_pdf_amount_pay_date_inferred,https://m.samsungfund.com/sheet/20210525/2ETF60_20210430.pdf
