success
060310
211270
265520
054620
126600
139050
083790
035760
311690
051500
056730
058820
065770
083660
099520
290120
060900
068790
025440
241520
418620
180400
245620
037370
050120
214270
900290
130500
083450
297890
440290
078150
195940
225530
060560
278650
028300
047920
187420
067630
024850
115450
046210
403870
196300
036640
095340
950170
067290
318000
024840
035900
024120
021320
044180
046440
151860
111870
035600
226360
060720
101000
418470
058400
089600
043610
061970
036560
122450
052900
309960
417200
225190
060370
078020
476080
322180
160550
053290
086960
104200
222160
060250
063570
332570
024940
474610
218410
327260
419530
091340
019550
246960
099220
036540
255220
040610
016250
184230
357880
063440
289080
048550
067160
013720
089230
032540
048770
246690
317240
057030
040300
079940
052220
051390
078890
399720
036620
198440
114190
094480
217730
039240
053950
011040
024910
348150
014570
950190
098460
049720
215000
035290
014200
029480
026910
121440
066620
043650
053270
006050
078130
307750
035080
453450
060480
402490
204020
114450
900070
204620
186230
019660
282720
053260
049080
420770
036190
407400
035460
187790
121600
286750
247660
039860
405920
417010
091970
137080
190510
051490
138610
242040
130580
036800
267320
111710
091590
168330
094860
253590
950220
095660
212560
042420
311390
085910
092730
290660
306620
153460
007390
033640
330860
389650
351320
089140
396270
137940
217270
348210
205500
225570
473980
145170
104620
194700
285490
106520
376930
142280
069140
234690
348340
332290
040160
060260
123840
012340
270870
144960
085670
064260
340360
323350
039560
464580
154040
068240
020400
048470
008830
389260
004780
317850
017650
036480
065150
290670
078140
129920
027830
104040
020180
045390
108380
007680
005710
048910
393970
120240
003310
078600
096350
010170
131220
140520
023910
067080
054670
021040
298540
393890
032860
462860
299170
043090
213420
224060
077360
317330
373160
090410
194480
263800
206560
067990
261200
006620
100130
303810
240550
005160
086450
075970
099410
033500
025950
088130
041930
060380
094170
079960
228340
013120
032960
005290
109860
023790
025900
131970
176750
073190
030350
362990
060570
223250
203650
016670
263690
110990
187870
347850
214680
376300
263720
109740
031860
066900
196490
092070
039840
219550
104460
310870
079810
113810
197140
043360
068930
105740
033130
263020
290550
066670
383930
131180
187220
315640
462510
317120
418420
232680
042510
300120
171120
388790
214260
171010
084650
038390
217500
294140
443250
412350
228670
199550
228850
108490
281740
215100
090360
376900
900260
067730
071280
328130
474170
214610
038060
141080
016100
058470
302550
012700
377450
073570
193250
277070
042500
439090
219420
377480
195500
305090
424980
038290
098120
267980
005990
093520
100590
072870
067280
446540
133750
235980
215200
054180
014100
041920
086900
408920
078160
021880
140410
059210
434480
241770
417970
058110
080420
101330
080160
087260
012860
363260
250060
288980
348030
142760
333050
463480
118990
033200
279600
001810
006920
254490
095500
100790
049950
218150
475460
452200
207760
201490
059090
206640
018700
301300
064550
314930
053030
035620
251120
086820
199730
038460
099430
032980
086040
308080
043150
323990
267790
046310
331520
199480
438700
066410
382900
206400
019010
457600
424760
177350
310210
250000
006910
014470
226340
008470
406820
338220
100120
099390
089970
365900
064480
478560
439580
251630
018290
033560
126340
121800
318410
082800
419540
146320
200780
413640
083650
141000
065170
086670
335890
082920
230980
042370
054220
050090
148780
377030
307870
032850
049470
238200
093190
065450
044480
069540
451250
466410
072950
452430
143240
419120
223310
419050
122350
053700
018310
014970
482630
009620
023600
009300
361670
036670
054540
065570
032280
002290
032750
037460
000250
054090
024950
038500
437730
017480
046390
027580
038540
263810
091580
089980
042940
042600
411080
107600
294630
252990
038070
378800
100660
043710
079650
019770
092190
