LC,VS,BO,RS,VCP,GG,CAGR,Vol,Sharpe,MDD,Days
2.818911077234607,1.3966420940880335,1.2000739713344637,1.1050015729768274,0.7480956814217009,0.5278375239881188,-0.665635587671985,0.5130038914800298,-1.7167915826976714,-0.9979333364394112,1379
1.3689748475364891,1.0768773618256366,1.0319219951039047,1.3984786756232535,0.7379055574616272,0.45410984752169337,-0.687407044827608,0.5306149424081537,-1.7703093665312992,-0.9984919937959688,1379
2.5733365621020683,1.1817552264162168,1.1514106897518348,1.160141268155332,0.7405628092609087,0.4760488381872967,-0.6982064821193628,0.5340918908118424,-1.8252188477852027,-0.998605209526525,1379
2.8014534525375305,1.3962251195978386,1.1781351136474272,1.0818905026231143,0.7495975347479434,0.4779138338726557,-0.6954754752572638,0.5242652701079318,-1.850260595491496,-0.9987006383430296,1379
1.6020819785009348,1.2429367387651644,1.0921592528492354,1.3925169590441424,0.65735850100682,0.4930534075661817,-0.7049659416756384,0.5326266298908909,-1.8617162647126553,-0.9989412943416164,1379
1.9009152463796954,0.978207547900932,0.850915130625554,1.1070472188826868,0.6934012518811514,0.5653319682442728,-0.6988485823584647,0.5237973705092425,-1.862452503499821,-0.9987442271310485,1379
1.592039072534487,1.2661207432565864,1.0771263385460197,1.392951309902355,0.6795743522439607,0.5144492631517261,-0.7043999914683081,0.5314866644486855,-1.864737272257033,-0.9989089152880517,1379
1.590209011479521,1.175417829527317,1.123395202489264,0.9385604717047166,0.7029340479589524,0.49210035844180017,-0.70317156170787,0.5278671685847935,-1.8801720674559192,-0.9987306649919874,1379
2.8620322760015093,1.2175881102530233,1.1610214532699012,1.163854063434088,0.7473739727667574,0.47524227104540884,-0.7033376994422162,0.5278212567637973,-1.881333024440541,-0.9987301443982545,1379
2.606775327479806,1.5903085465436053,1.180119215439886,1.2820011985053867,0.7236440932798404,0.5370518177182971,-0.7064107988919224,0.5280025010670885,-1.9138355933918434,-0.9988348325207795,1379
2.3437105152448305,1.430925030876932,1.2650695815192963,1.3106952831059577,0.7163860818219314,0.35367985569163035,-0.725535697056837,0.5480811081408707,-1.9378594353183558,-0.9992256645809692,1379
2.026182177849505,1.1305269442524786,1.1334903977966058,1.1367531940522675,0.6748485565348568,0.4805784175863859,-0.7165732082206742,0.5242910886717316,-1.9964027107236475,-0.9990692963543605,1379
2.6105728061360747,1.1091224538392455,1.1461581181176899,0.9995468032188497,0.7498599300875252,0.41377309258803097,-0.721854382401335,0.522211195505571,-2.017104881830357,-0.9991233936638699,1379
1.3790916447839745,1.2768904496562457,1.0697235343639642,1.469261531939738,0.6776232095678543,0.5204070682856704,-0.7281962213428024,0.530447384514397,-2.031367045339073,-0.9993159839343598,1379
2.86023633974992,1.0551543580658374,1.0355668873837633,1.0304939792284973,0.7480626893521007,0.45377147958277864,-0.7290270957082978,0.5270615408302577,-2.062354212850827,-0.9992373019199366,1379
1.2288159770757199,2.24364920940579,0.9183122993485329,1.2017869344447147,0.441669040515998,0.3957489227885,-0.7309443163432388,0.5324125638790174,-2.0641952537141988,-0.9993095191293215,1379
1.1724119182734245,0.959522176049637,1.1934846486745625,1.1161131796890755,0.7236017549942615,0.42141871459013835,-0.716148841198555,0.5034261892237546,-2.13654255779882,-0.998984285859805,1379
1.8082666449218165,1.447165417458788,1.362224786387409,1.2282155253408387,0.37739546390391454,0.4570730000009464,-0.7453716357617433,0.5340415125363464,-2.138314215703644,-0.9995619495302727,1379
2.170267554664945,0.8486847099971423,1.2718852319546332,1.1815228121499666,0.7182051255084858,0.5070119940349983,-0.7403843261275922,0.5215567904584963,-2.176401329646718,-0.999408256706085,1379
2.58806275451792,0.7577902118835999,1.0642300217274843,1.245070415748816,0.7460001995679458,0.4708255008057757,-0.7242680289443987,0.49982725922025273,-2.2146589734847493,-0.999132596412919,1379
