date,0
2021-09-29,growth
2021-09-30,growth
2021-10-01,growth
2021-10-05,growth
2021-10-06,growth
2021-10-07,growth
2021-10-08,growth
2021-10-12,growth
2021-10-13,growth
2021-10-14,growth
2021-10-15,growth
2021-10-18,growth
2021-10-19,growth
2021-10-20,growth
2021-10-21,growth
2021-10-22,growth
2021-10-25,growth
2021-10-26,growth
2021-10-27,growth
2021-10-28,growth
2021-10-29,growth
2021-11-01,growth
2021-11-02,growth
2021-11-03,growth
2021-11-04,growth
2021-11-05,growth
2021-11-08,growth
2021-11-09,growth
2021-11-10,growth
2021-11-11,growth
2021-11-12,growth
2021-11-15,growth
2021-11-16,growth
2021-11-17,growth
2021-11-18,growth
2021-11-19,growth
2021-11-22,growth
2021-11-23,growth
2021-11-24,growth
2021-11-25,growth
2021-11-26,growth
2021-11-29,defensive
2021-11-30,defensive
2021-12-01,defensive
2021-12-02,defensive
2021-12-03,defensive
2021-12-06,defensive
2021-12-07,defensive
2021-12-08,defensive
2021-12-09,defensive
2021-12-10,defensive
2021-12-13,defensive
2021-12-14,defensive
2021-12-15,defensive
2021-12-16,defensive
2021-12-17,defensive
2021-12-20,defensive
2021-12-21,defensive
2021-12-22,defensive
2021-12-23,defensive
2021-12-24,defensive
2021-12-27,defensive
2021-12-28,growth
2021-12-29,growth
2021-12-30,growth
2022-01-03,growth
2022-01-04,growth
2022-01-05,growth
2022-01-06,growth
2022-01-07,growth
2022-01-10,defensive
2022-01-11,defensive
2022-01-12,defensive
2022-01-13,defensive
2022-01-14,growth
2022-01-17,defensive
2022-01-18,defensive
2022-01-19,defensive
2022-01-20,defensive
2022-01-21,defensive
2022-01-24,defensive
2022-01-25,defensive
2022-01-26,defensive
2022-01-27,defensive
2022-01-28,defensive
2022-02-03,defensive
2022-02-04,defensive
2022-02-07,defensive
2022-02-08,defensive
2022-02-09,defensive
2022-02-10,defensive
2022-02-11,defensive
2022-02-14,defensive
2022-02-15,defensive
2022-02-16,defensive
2022-02-17,defensive
2022-02-18,defensive
2022-02-21,defensive
2022-02-22,defensive
2022-02-23,defensive
2022-02-24,defensive
2022-02-25,defensive
2022-02-28,defensive
2022-03-02,defensive
2022-03-03,growth
2022-03-04,defensive
2022-03-07,defensive
2022-03-08,defensive
2022-03-10,defensive
2022-03-11,defensive
2022-03-14,defensive
2022-03-15,defensive
2022-03-16,defensive
2022-03-17,defensive
2022-03-18,defensive
2022-03-21,defensive
2022-03-22,defensive
2022-03-23,defensive
2022-03-24,defensive
2022-03-25,defensive
2022-03-28,defensive
2022-03-29,defensive
2022-03-30,defensive
2022-03-31,defensive
2022-04-01,defensive
2022-04-04,defensive
2022-04-05,defensive
2022-04-06,defensive
2022-04-07,defensive
2022-04-08,defensive
2022-04-11,defensive
2022-04-12,defensive
2022-04-13,defensive
2022-04-14,defensive
2022-04-15,defensive
2022-04-18,defensive
2022-04-19,defensive
2022-04-20,defensive
2022-04-21,defensive
2022-04-22,growth
2022-04-25,growth
2022-04-26,growth
2022-04-27,growth
2022-04-28,growth
2022-04-29,growth
2022-05-02,growth
2022-05-03,growth
2022-05-04,defensive
2022-05-06,defensive
2022-05-09,defensive
2022-05-10,defensive
2022-05-11,defensive
2022-05-12,defensive
2022-05-13,defensive
2022-05-16,defensive
2022-05-17,defensive
2022-05-18,defensive
2022-05-19,defensive
2022-05-20,defensive
2022-05-23,defensive
2022-05-24,defensive
2022-05-25,defensive
2022-05-26,defensive
2022-05-27,defensive
2022-05-30,defensive
2022-05-31,defensive
2022-06-02,defensive
2022-06-03,defensive
2022-06-07,defensive
2022-06-08,defensive
2022-06-09,defensive
2022-06-10,defensive
2022-06-13,defensive
2022-06-14,defensive
2022-06-15,defensive
2022-06-16,defensive
2022-06-17,defensive
2022-06-20,defensive
2022-06-21,defensive
2022-06-22,defensive
2022-06-23,defensive
2022-06-24,defensive
2022-06-27,defensive
2022-06-28,defensive
2022-06-29,defensive
2022-06-30,defensive
2022-07-01,defensive
2022-07-04,defensive
2022-07-05,growth
2022-07-06,growth
2022-07-07,defensive
2022-07-08,defensive
2022-07-11,defensive
2022-07-12,defensive
2022-07-13,defensive
2022-07-14,defensive
2022-07-15,defensive
2022-07-18,defensive
2022-07-19,defensive
2022-07-20,defensive
2022-07-21,defensive
2022-07-22,defensive
2022-07-25,defensive
2022-07-26,defensive
2022-07-27,defensive
2022-07-28,defensive
2022-07-29,defensive
2022-08-01,defensive
2022-08-02,defensive
2022-08-03,defensive
2022-08-04,defensive
2022-08-05,defensive
2022-08-08,defensive
2022-08-09,defensive
2022-08-10,defensive
2022-08-11,defensive
2022-08-12,growth
2022-08-16,defensive
2022-08-17,defensive
2022-08-18,defensive
2022-08-19,growth
2022-08-22,growth
2022-08-23,growth
2022-08-24,growth
2022-08-25,growth
2022-08-26,growth
2022-08-29,defensive
2022-08-30,defensive
2022-08-31,growth
2022-09-01,growth
2022-09-02,growth
2022-09-05,growth
2022-09-06,growth
2022-09-07,growth
2022-09-08,growth
2022-09-13,growth
2022-09-14,growth
2022-09-15,growth
2022-09-16,growth
2022-09-19,growth
2022-09-20,growth
2022-09-21,growth
2022-09-22,growth
2022-09-23,growth
2022-09-26,growth
2022-09-27,growth
2022-09-28,growth
2022-09-29,growth
2022-09-30,growth
2022-10-04,growth
2022-10-05,growth
2022-10-06,growth
2022-10-07,growth
2022-10-11,growth
2022-10-12,growth
2022-10-13,growth
2022-10-14,growth
2022-10-17,growth
2022-10-18,growth
2022-10-19,growth
2022-10-20,growth
2022-10-21,growth
2022-10-24,growth
2022-10-25,growth
2022-10-26,growth
2022-10-27,growth
2022-10-28,growth
2022-10-31,growth
2022-11-01,growth
2022-11-02,growth
2022-11-03,growth
2022-11-04,growth
2022-11-07,growth
2022-11-08,growth
2022-11-09,growth
2022-11-10,growth
2022-11-11,growth
2022-11-14,growth
2022-11-15,growth
2022-11-16,growth
2022-11-17,growth
2022-11-18,growth
2022-11-21,growth
2022-11-22,growth
2022-11-23,growth
2022-11-24,growth
2022-11-25,growth
2022-11-28,growth
2022-11-29,growth
2022-11-30,growth
2022-12-01,growth
2022-12-02,growth
2022-12-05,growth
2022-12-06,growth
2022-12-07,growth
2022-12-08,growth
2022-12-09,growth
2022-12-12,growth
2022-12-13,defensive
2022-12-14,defensive
2022-12-15,defensive
2022-12-16,growth
2022-12-19,defensive
2022-12-20,defensive
2022-12-21,growth
2022-12-22,growth
2022-12-23,growth
2022-12-26,growth
2022-12-27,growth
2022-12-28,growth
2022-12-29,defensive
2023-01-02,defensive
2023-01-03,defensive
2023-01-04,growth
2023-01-05,growth
2023-01-06,growth
2023-01-09,growth
2023-01-10,growth
2023-01-11,growth
2023-01-12,growth
2023-01-13,growth
2023-01-16,growth
2023-01-17,growth
