symbol,action,qty,est_price,est_value,target_weight,current_qty,target_qty
452450,BUY,13,9210.0,119730.0,0.11978247969891807,0,13
092200,BUY,17,6490.0,110330.0,0.11605959861164174,0,17
010170,BUY,35,2915.0,102025.0,0.10425692756639003,0,35
049630,BUY,73,1383.0,100959.0,0.10117620282386221,0,73
001440,BUY,4,24500.0,98000.0,0.11948985149118457,0,4
047770,BUY,27,2940.0,79380.0,0.08125309901400551,0,27
229200,BUY,4,15225.0,60900.0,0.074254407712379,0,4
098460,BUY,3,20100.0,60300.0,0.06535363306048463,0,3
114800,BUY,21,2685.0,56385.0,0.05674548661632378,0,21
122630,BUY,1,40030.0,40030.0,0.06507726197540298,0,1
336260,BUY,1,37600.0,37600.0,0.061126781171000545,0,1
